raceId,year,circuitId,name,qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,raceId,driverId,constructorId,grid,positionOrder,points,laps,rank,fastestLapSpeed,driverid,driverref
1054,2021,75,"Portuguese Grand Prix",8778,1054,815,9,11,4,1:19.337,1:18.845,1:18.890,1054,815,9,4,4,12.0,66,2,207.715,815,perez
1054,2021,75,"Portuguese Grand Prix",8781,1054,846,1,4,7,1:18.794,1:18.481,1:19.116,1054,846,1,7,5,10.0,66,7,205.038,846,norris
1054,2021,75,"Portuguese Grand Prix",8782,1054,844,6,16,8,1:19.373,1:18.769,1:19.306,1054,844,6,8,6,8.0,66,6,205.541,844,leclerc
1054,2021,75,"Portuguese Grand Prix",8780,1054,839,214,31,6,1:19.092,1:18.586,1:19.042,1054,839,214,6,7,6.0,66,8,204.562,839,ocon
1054,2021,75,"Portuguese Grand Prix",8787,1054,4,214,14,13,1:19.728,1:19.456,\N,1054,4,214,13,8,4.0,66,5,206.718,4,alonso
1054,2021,75,"Portuguese Grand Prix",8790,1054,817,1,3,16,1:19.839,\N,\N,1054,817,1,16,9,2.0,66,10,204.310,817,ricciardo
1054,2021,75,"Portuguese Grand Prix",8783,1054,842,213,10,9,1:19.464,1:19.052,1:19.475,1054,842,213,9,10,1.0,66,11,204.243,842,gasly
1054,2021,75,"Portuguese Grand Prix",8779,1054,832,6,55,5,1:19.309,1:18.813,1:19.039,1054,832,6,5,11,0.0,66,14,203.471,832,sainz
1054,2021,75,"Portuguese Grand Prix",8786,1054,841,51,99,12,1:19.410,1:19.216,\N,1054,841,51,12,12,0.0,65,13,203.862,841,giovinazzi
1054,2021,75,"Portuguese Grand Prix",8784,1054,20,117,5,10,1:19.403,1:18.970,1:19.659,1054,20,117,10,13,0.0,65,15,203.246,20,vettel
1054,2021,75,"Portuguese Grand Prix",8791,1054,840,117,18,17,1:19.913,\N,\N,1054,840,117,17,14,0.0,65,9,204.352,840,stroll
1054,2021,75,"Portuguese Grand Prix",8788,1054,852,213,22,14,1:19.684,1:19.463,\N,1054,852,213,14,15,0.0,65,12,204.133,852,tsunoda
1054,2021,75,"Portuguese Grand Prix",8785,1054,847,3,63,11,1:19.797,1:19.109,\N,1054,847,3,11,16,0.0,65,16,202.661,847,russell
1054,2021,75,"Portuguese Grand Prix",8793,1054,854,210,47,19,1:20.452,\N,\N,1054,854,210,19,17,0.0,64,17,202.414,854,mick_schumacher
1054,2021,75,"Portuguese Grand Prix",8792,1054,849,3,6,18,1:20.285,\N,\N,1054,849,3,18,18,0.0,64,18,201.440,849,latifi
1054,2021,75,"Portuguese Grand Prix",8794,1054,853,210,9,20,1:20.912,\N,\N,1054,853,210,20,19,0.0,64,19,200.270,853,mazepin
1054,2021,75,"Portuguese Grand Prix",8789,1054,8,51,7,15,1:19.748,1:19.812,\N,1054,8,51,15,20,0.0,1,0,\N,8,raikkonen
1055,2021,4,"Spanish Grand Prix",8795,1055,1,131,44,1,1:18.245,1:17.166,1:16.741,1055,1,131,1,1,25.0,66,5,208.640,1,hamilton
1055,2021,4,"Spanish Grand Prix",8796,1055,830,9,33,2,1:18.090,1:16.922,1:16.777,1055,830,9,2,2,19.0,66,1,215.357,830,max_verstappen
1055,2021,4,"Spanish Grand Prix",8797,1055,822,131,77,3,1:18.005,1:17.142,1:16.873,1055,822,131,3,3,15.0,66,2,211.884,822,bottas
1055,2021,4,"Spanish Grand Prix",8798,1055,844,6,16,4,1:18.041,1:17.717,1:17.510,1055,844,6,4,4,12.0,66,4,209.174,844,leclerc
1055,2021,4,"Spanish Grand Prix",8802,1055,815,9,11,8,1:18.203,1:17.669,1:17.701,1055,815,9,8,5,10.0,66,3,211.743,815,perez
1055,2021,4,"Spanish Grand Prix",8801,1055,817,1,3,7,1:18.264,1:17.719,1:17.622,1055,817,1,7,6,8.0,66,10,205.612,817,ricciardo
1055,2021,4,"Spanish Grand Prix",8800,1055,832,6,55,6,1:18.205,1:17.656,1:17.620,1055,832,6,6,7,6.0,66,9,206.330,832,sainz
1055,2021,4,"Spanish Grand Prix",8803,1055,846,1,4,9,1:17.821,1:17.696,1:18.010,1055,846,1,9,8,4.0,65,7,207.064,846,norris
1055,2021,4,"Spanish Grand Prix",8799,1055,839,214,31,5,1:18.281,1:17.743,1:17.580,1055,839,214,5,9,2.0,65,18,202.014,839,ocon
